id_|_ tweet
"1,""I see a lot of trash in the ocean near Miami Beach."" _|_"
"2,""Oil spill reported near Santa Monica."" _|_"
"3,""Plastic debris found in the waters off the coast of Hawaii."" _|_"
"4,""Chemical pollution detected in the Baltic Sea."" _|_"
"5,""Summer 2023 saw skylines choked by wildfire smoke, coral cooked in hot oceans and a full month of 110-degree F temperatures in Phoenix.📈⚠️♨️"

"Scientists say 2024 will likely be another scorching summer with the potential for more #climatechange disasters."" _|_"
"6,""I had a fascinating discussion with "
@tamara_elzein
, President of the SC Commission, about 
@UNESCO
"’s key work for a sustainable ocean, disaster risk reduction, open science, STEM education and SIDS, among others. Congratulations for the work of the SC Commission, Madam President!"" _|_"
"7,""“The fishing ban came. It was a very difficult time."""

Marcus Stanley and thousands of families are trying to restore their livelihoods after a cargo ship caught fire last year, causing Sri Lanka's biggest ocean disaster.
" _|_
8, BREAKING ⚠️ New analysis shows that pipelines from the Cambo oil field will run straight through a Marine Protected Area, home to one of the oldest living animals on earth & rare 'cheesy-bottom' sponges 🧽"

"Cambo is a climate and ocean disaster. "" _|_"
"9, ""Save Ondo communities from ocean disaster – Senate begs FG"" _|_"
"10, ""Cagayan province turned into 'Pacific Ocean': disaster management official"" _|_"
"11, ""Raging Tanker Fire Sparks Fears Of A New Indian Ocean Disaster"" _|_"
"12, ""State & federal govts. sue "
@exxonmobil
 over Pegasus pipeline oil spill in Mayflower in 2013, which sent 3.2K barrels of oil into subdivision & Lake Conway. Proposed settlement expected soon. 
@nottalking
 reports in 
"@arktimes"" _|_"
"13, ""oil spill along the coast north of Baniyas from tankers delivering Iranian oil to Syria on 30 May 2024"" _|_"
"14, ""10 years ago: the Deepwater Horizon oil spill."
"It took 5 months to completely seal the well, which spilled a total 780,000 m^3 and cost over $65 billion to clean up."" _|_"
"15, ""I have a well that is shut-in due to SWD issues. Okla Corp Comm informed me that I needed to clean up an oil spill. No cows/fenced off. A chemical circulation pot was stolen from the backside & oil was squirting out. Left 3’ wide/50 yard path due to rain. I hate this business 🤬"" _|_"
"16, ""Indian-owned ship seized in Colombo over oil spill"" _|_"
